Beam,Date,Time,RTT(ms),Download(kbit/s),Upload(kbit/s)
106,2018-11-16,0335,436.446,1075.2,2304.0
106,2018-11-16,0340,523.222,1904.64,2273.28
106,2018-11-16,0345,436.926,1064.96,2887.68
106,2018-11-16,0350,475.449,1064.96,2252.8
106,2018-11-16,0355,456.579,1372.16,2344.96
106,2018-11-16,0400,432.953,1208.32,2365.44
106,2018-11-16,0405,439.372,1208.32,2273.28
106,2018-11-16,0410,491.706,993.28,1781.76
106,2018-11-16,0415,447.953,1525.76,2928.64
106,2018-11-16,0420,452.06,1259.52,2897.92
106,2018-11-16,0425,421.743,1843.2,2754.56
106,2018-11-16,0430,431.359,1884.16,2785.28
106,2018-11-16,0435,443.247,1873.92,2856.96
106,2018-11-16,0440,463.472,1669.12,2283.52
106,2018-11-16,0445,441.46,1873.92,1986.56
106,2018-11-16,0450,491.456,1413.12,2355.2
106,2018-11-16,0455,441.388,1792.0,1474.56
106,2018-11-16,0500,466.883,1638.4,2283.52
106,2018-11-16,0505,449.481,1863.68,1935.36
106,2018-11-16,0510,463.734,1812.48,2334.72
106,2018-11-16,0515,453.844,1628.16,2273.28
106,2018-11-16,0520,463.1,1781.76,2344.96
106,2018-11-16,0525,484.613,1863.68,2324.48
106,2018-11-16,0530,455.235,1976.32,2334.72
106,2018-11-16,0535,568.293,2129.92,2334.72
106,2018-11-16,0540,521.053,2068.48,2304.0
106,2018-11-16,0545,430.537,1853.44,2396.16
106,2018-11-16,0550,468.138,2017.28,1525.76
106,2018-11-16,0555,437.912,2191.36,2406.4
106,2018-11-16,0600,441.841,2058.24,2344.96
106,2018-11-16,0605,466.22,2017.28,2396.16
106,2018-11-16,0610,466.545,1873.92,2283.52
106,2018-11-16,0615,476.667,1955.84,2222.08
106,2018-11-16,0620,445.243,1873.92,2334.72
106,2018-11-16,0625,437.116,1689.6,2283.52
106,2018-11-16,0630,466.077,1781.76,2365.44
106,2018-11-16,0635,488.906,1832.96,2293.76
106,2018-11-16,0640,441.692,1966.08,2017.28
106,2018-11-16,0645,446.464,1372.16,2877.44
106,2018-11-16,0650,460.135,1546.24,2263.04
106,2018-11-16,0655,507.9,1792.0,2242.56
106,2018-11-16,0700,450.793,1843.2,2396.16
106,2018-11-16,0705,445.022,1945.6,2263.04
106,2018-11-16,0710,484.384,1300.48,2283.52
106,2018-11-16,0715,491.329,1556.48,2273.28
106,2018-11-16,0720,487.324,1146.88,2334.72
106,2018-11-16,0725,444.822,1269.76,2703.36
106,2018-11-16,0730,442.571,1576.96,2590.72
106,2018-11-16,0735,452.089,1771.52,2283.52
106,2018-11-16,0740,534.491,1361.92,2283.52
106,2018-11-16,0745,445.005,1331.2,2703.36
106,2018-11-16,0750,474.961,1239.04,2191.36
106,2018-11-16,0755,485.693,1474.56,2273.28
106,2018-11-16,0800,473.395,634.88,2007.04
106,2018-11-16,0805,436.307,1208.32,2273.28
106,2018-11-16,0810,465.755,962.56,2283.52
106,2018-11-16,0815,471.586,1146.88,2344.96
106,2018-11-16,0820,461.889,901.12,2355.2
106,2018-11-16,0825,438.299,655.36,2887.68
106,2018-11-16,0830,434.084,808.96,2897.92
106,2018-11-16,0835,437.114,808.96,2775.04
106,2018-11-16,0840,444.953,1187.84,2222.08
106,2018-11-16,0845,483.284,337.92,2222.08
106,2018-11-16,0850,481.807,245.76,2150.4
106,2018-11-16,0855,428.207,491.52,2877.44
106,2018-11-16,0900,479.853,778.24,2344.96
106,2018-11-16,0905,456.923,1003.52,2099.2
106,2018-11-16,0910,454.462,1044.48,2314.24
106,2018-11-16,0915,456.451,942.08,2273.28
106,2018-11-16,0920,480.118,1167.36,2222.08
106,2018-11-16,0925,448.197,1136.64,2160.64
106,2018-11-16,0930,443.523,532.48,2068.48
106,2018-11-16,0935,603.782,276.48,2211.84
106,2018-11-16,0940,466.86,1013.76,2263.04
106,2018-11-16,0945,449.04,1095.68,2324.48
106,2018-11-16,0950,469.512,1372.16,2836.48
106,2018-11-16,0955,470.824,808.96,2539.52
106,2018-11-16,1000,470.035,778.24,2324.48
106,2018-11-16,1005,643.346,215.04,2088.96
106,2018-11-16,1010,502.803,296.96,2160.64
106,2018-11-16,1015,613.529,225.28,2672.64
106,2018-11-16,1020,662.786,440.32,2150.4
106,2018-11-16,1025,460.182,450.56,2580.48
106,2018-11-16,1030,442.543,624.64,2273.28
106,2018-11-16,1035,451.352,1034.24,2283.52
106,2018-11-16,1040,447.785,1044.48,2078.72
106,2018-11-16,1045,468.826,522.24,2129.92
106,2018-11-16,1050,482.806,583.68,2140.16
106,2018-11-16,1055,448.929,727.04,1495.04
106,2018-11-16,1100,504.59,450.56,2263.04
106,2018-11-16,1105,491.899,552.96,2201.6
106,2018-11-16,1110,483.021,430.08,2150.4
106,2018-11-16,1115,514.18,378.88,2140.16
106,2018-11-16,1120,507.611,204.8,2222.08
106,2018-11-16,1125,726.204,286.72,2795.52
106,2018-11-16,1130,437.816,491.52,2713.6
106,2018-11-16,1135,489.769,399.36,1699.84
106,2018-11-16,1140,444.969,675.84,1976.32
